dsgdb9nsd_000001	C
dsgdb9nsd_000002	N
dsgdb9nsd_000003	O
dsgdb9nsd_000004	C#C
dsgdb9nsd_000005	C#N
dsgdb9nsd_000006	C=O
dsgdb9nsd_000007	CC
dsgdb9nsd_000008	CO
dsgdb9nsd_000009	CC#C
dsgdb9nsd_000010	CC#N
dsgdb9nsd_000011	CC=O
dsgdb9nsd_000012	NC=O
dsgdb9nsd_000013	CCC
dsgdb9nsd_000014	CCO
dsgdb9nsd_000015	COC
dsgdb9nsd_000016	C1CC1
dsgdb9nsd_000017	C1CO1
dsgdb9nsd_000018	CC(C)=O
dsgdb9nsd_000019	CC(N)=O
dsgdb9nsd_000020	NC(N)=O
dsgdb9nsd_000021	CC(C)C
dsgdb9nsd_000022	CC(C)O
dsgdb9nsd_000023	C#CC#C
dsgdb9nsd_000024	C#CC#N
dsgdb9nsd_000025	N#CC#N
dsgdb9nsd_000026	O=CC#C
dsgdb9nsd_000027	O=CC#N
dsgdb9nsd_000028	O=CC=O
dsgdb9nsd_000029	CC#CC
dsgdb9nsd_000030	CCC#C
dsgdb9nsd_000031	CCC#N
dsgdb9nsd_000032	NCC#N
dsgdb9nsd_000033	OCC#C
dsgdb9nsd_000034	OCC#N
dsgdb9nsd_000035	CCC=O
dsgdb9nsd_000036	CNC=O
dsgdb9nsd_000037	COC=O
dsgdb9nsd_000038	OCC=O
dsgdb9nsd_000039	CCCC
dsgdb9nsd_000040	CCCO
dsgdb9nsd_000041	CCOC
dsgdb9nsd_000042	OCCO
dsgdb9nsd_000043	CC1CC1
dsgdb9nsd_000044	CC1CO1
dsgdb9nsd_000045	CN1CC1
dsgdb9nsd_000046	OC1CC1
dsgdb9nsd_000047	C1CCC1
dsgdb9nsd_000048	C1COC1
dsgdb9nsd_000049	CC(C)=NO
dsgdb9nsd_000050	N1C=CC=C1
dsgdb9nsd_000051	N1C=CN=C1
dsgdb9nsd_000052	O1C=CC=C1
dsgdb9nsd_000053	O1C=CN=C1
dsgdb9nsd_000056	CC(=O)C#C
dsgdb9nsd_000057	CC(=O)C#N
dsgdb9nsd_000058	NC(=N)C#N
dsgdb9nsd_000059	NC(=O)C#C
dsgdb9nsd_000060	CC(=O)C=O
dsgdb9nsd_000062	NC(=O)C=O
dsgdb9nsd_000063	CC(C)C#C
dsgdb9nsd_000064	CC(C)C#N
dsgdb9nsd_000065	CC(N)C#N
dsgdb9nsd_000066	CC(O)C#C
dsgdb9nsd_000067	CC(O)C#N
dsgdb9nsd_000068	CC(C)C=O
dsgdb9nsd_000069	CC(O)C=O
dsgdb9nsd_000070	CN(C)C=O
dsgdb9nsd_000071	CC(=O)CO
dsgdb9nsd_000072	CCC(C)=O
dsgdb9nsd_000073	CCC(N)=O
dsgdb9nsd_000074	CNC(C)=O
dsgdb9nsd_000075	CNC(N)=O
dsgdb9nsd_000076	COC(C)=N
dsgdb9nsd_000077	COC(C)=O
dsgdb9nsd_000078	COC(N)=O
dsgdb9nsd_000079	NC(=O)CO
dsgdb9nsd_000082	CC(O)CO
dsgdb9nsd_000087	CC1(C)CO1
dsgdb9nsd_000088	CC1(O)CC1
dsgdb9nsd_000089	N=C1CCO1
dsgdb9nsd_000090	O=C1CCC1
dsgdb9nsd_000091	O=C1CCN1
dsgdb9nsd_000092	O=C1CCO1
dsgdb9nsd_000093	O=C1CNC1
dsgdb9nsd_000094	O=C1COC1
dsgdb9nsd_000096	CC1CCO1
dsgdb9nsd_000097	CC1COC1
dsgdb9nsd_000098	OC1CCC1
dsgdb9nsd_000099	OC1COC1
dsgdb9nsd_000101	CC1CC1O
dsgdb9nsd_000102	CC1CN1C
dsgdb9nsd_000103	CC1OC1C
dsgdb9nsd_000104	OC1CC1O
dsgdb9nsd_000105	C1C2CC1C2
dsgdb9nsd_000106	C1C2CC1O2
dsgdb9nsd_000107	C#CCC#C
dsgdb9nsd_000108	C#CCC#N
dsgdb9nsd_000109	N#CCC#N
dsgdb9nsd_000110	O=CCC#C
dsgdb9nsd_000111	O=CCC#N
dsgdb9nsd_000112	N=CNC=O
